Hour	HR (bpm)
00:00:00	59.39
00:05:00	57.77
00:10:00	61.38
00:15:00	62.23
00:20:00	64.39
00:25:00	61.04
00:30:00	59.59
00:35:00	60.21
00:40:00	60.16
00:45:00	64.24
00:50:00	60.7
00:55:00	63.64
01:00:00	60.92
01:05:00	60.02
01:10:00	62.06
01:15:00	63.68
01:20:00	62.66
01:25:00	59.46
01:30:00	62.65
01:35:00	65.18
01:40:00	66.3
01:45:00	64.69
01:50:00	64.7
01:55:00	64.36
02:00:00	61.54
02:05:00	64.86
02:10:00	62.85
02:15:00	62.61
02:20:00	62.77
02:25:00	70.91
02:30:00	77.58
02:35:00	80.99
02:40:00	88.32
02:45:00	95.37
02:50:00	67.06
02:55:00	66.48
03:00:00	64.99
03:05:00	66.54
03:10:00	66.66
03:15:00	64.52
03:20:00	66.68
03:25:00	66.79
03:30:00	68.15
03:35:00	63.37
03:40:00	68.98
03:45:00	66.92
03:50:00	66.98
03:55:00	66.68
04:00:00	63.13
04:05:00	66.82
04:10:00	69.73
04:15:00	64.88
04:20:00	68.36
04:25:00	68.43
04:30:00	64.99
04:35:00	65.74
04:40:00	66.49
04:45:00	66.58
04:50:00	68.96
04:55:00	67.7
05:00:00	66.92
05:05:00	66.85
05:10:00	66.32
05:15:00	68.3
05:20:00	68.67
05:25:00	65.26
05:30:00	68.5
05:35:00	70.37
05:40:00	64.3
05:45:00	65.86
05:50:00	69.23
05:55:00	65.84
06:00:00	69.26
06:05:00	64.98
06:10:00	68.12
06:15:00	63.1
06:20:00	66.26
06:25:00	66.06
06:30:00	65.14
06:35:00	63.88
06:40:00	64.71
06:45:00	65.09
06:50:00	64.64
06:55:00	64.99
07:00:00	65.94
07:05:00	62.58
07:10:00	62.82
07:15:00	64.08
07:20:00	64.41
07:25:00	63.55
07:30:00	63.32
07:35:00	63.03
07:40:00	64.65
07:45:00	63.22
07:50:00	63.55
07:55:00	64.47
08:00:00	61.97
08:05:00	58.42
08:10:00	61.35
08:15:00	61.17
08:20:00	62.36
08:25:00	62.7
08:30:00	63.95
08:35:00	60.89
08:40:00	62.16
08:45:00	67.21
08:50:00	78.06
08:55:00	77.81
09:00:00	82.39
09:05:00	92.62
09:10:00	62.03
09:15:00	60.8
09:20:00	60.15
09:25:00	62.75
09:30:00	61.24
09:35:00	63.17
09:40:00	62.92
09:45:00	70.12
09:50:00	71.57
09:55:00	76.12
10:00:00	87.8
10:05:00	93.13
10:10:00	62.59
10:15:00	60.59
10:20:00	62.28
10:25:00	60.4
10:30:00	59.02
10:35:00	61.41
10:40:00	57.45
10:45:00	59.37
10:50:00	58.02
10:55:00	64.28
11:00:00	60.98
11:05:00	62.79
11:10:00	53.88
11:15:00	59.85
11:20:00	61.46
11:25:00	59.55
11:30:00	58.92
11:35:00	62.85
11:40:00	55.96
11:45:00	59.98
11:50:00	61.26
11:55:00	61.68
12:00:00	59.17
12:05:00	62.76
12:10:00	60.39
12:15:00	62.25
12:20:00	61.49
12:25:00	61.39
12:30:00	63.78
12:35:00	62.71
12:40:00	61.33
12:45:00	63.63
12:50:00	70.52
12:55:00	78.42
13:00:00	83.12
13:05:00	89.22
13:10:00	61.88
13:15:00	60.99
13:20:00	58.28
13:25:00	61.19
13:30:00	60.21
13:35:00	64.15
13:40:00	59.23
13:45:00	61.49
13:50:00	64.94
13:55:00	61.92
14:00:00	62.22
14:05:00	63.17
14:10:00	61.28
14:15:00	64.33
14:20:00	63.68
14:25:00	61.2
14:30:00	61.91
14:35:00	64.96
14:40:00	66.46
14:45:00	63.32
14:50:00	69.33
14:55:00	62.38
15:00:00	64.23
15:05:00	64.38
15:10:00	63.16
15:15:00	64.69
15:20:00	65.63
15:25:00	65.46
15:30:00	69.49
15:35:00	68.31
15:40:00	68.65
15:45:00	65.17
15:50:00	67.73
15:55:00	66.04
16:00:00	67.85
16:05:00	68.93
16:10:00	67.19
16:15:00	67.35
16:20:00	68.8
16:25:00	69.99
16:30:00	69.71
16:35:00	62.69
16:40:00	67.3
16:45:00	67.79
16:50:00	67.62
16:55:00	69.62
17:00:00	66.61
17:05:00	70.09
17:10:00	67.35
17:15:00	69.36
17:20:00	72.41
17:25:00	70.51
17:30:00	69.07
17:35:00	69.65
17:40:00	68.56
17:45:00	70.86
17:50:00	70.95
17:55:00	73.66
18:00:00	76.24
18:05:00	70.33
18:10:00	73.9
18:15:00	72.77
18:20:00	73.13
18:25:00	79.37
18:30:00	79.18
18:35:00	93.89
18:40:00	94.69
18:45:00	103.29
18:50:00	68.92
18:55:00	72.82
19:00:00	69.87
19:05:00	70.86
19:10:00	71.35
19:15:00	71.89
19:20:00	73.01
19:25:00	74.82
19:30:00	71.89
19:35:00	70.01
19:40:00	74.05
19:45:00	72.04
19:50:00	74.9
19:55:00	75.82
20:00:00	74.95
20:05:00	72.79
20:10:00	71.64
20:15:00	73.52
20:20:00	68.73
20:25:00	77.94
20:30:00	71.35
20:35:00	74.19
20:40:00	73.89
20:45:00	70.76
20:50:00	74.12
20:55:00	71.01
21:00:00	76.5
21:05:00	74.99
21:10:00	73.7
21:15:00	72.43
21:20:00	74.28
21:25:00	66.9
21:30:00	72.57
21:35:00	74.07
21:40:00	71.35
21:45:00	71.63
21:50:00	71.53
21:55:00	72.19
22:00:00	71.59
22:05:00	72.3
22:10:00	72.79
22:15:00	71.61
22:20:00	74.14
22:25:00	68.79
22:30:00	70.91
22:35:00	75.39
22:40:00	70.39
22:45:00	72.67
22:50:00	72.26
22:55:00	71.92
23:00:00	71.91
23:05:00	71.7
23:10:00	69.95
23:15:00	73.35
23:20:00	68.95
23:25:00	69.95
23:30:00	71.92
23:35:00	65.88
23:40:00	71.0
23:45:00	64.03
23:50:00	72.76
23:55:00	68.98
