Hour	HRV (ms)
00:00:00	39.2
00:20:00	47.79
00:40:00	35.42
01:00:00	57.2
01:20:00	45.19
01:40:00	59.51
02:00:00	51.27
02:20:00	54.1
02:40:00	73.76
03:00:00	54.01
03:20:00	56.01
03:40:00	53.17
04:00:00	63.95
04:20:00	53.82
04:40:00	59.23
05:00:00	52.57
05:20:00	58.04
05:40:00	56.13
06:00:00	56.16
06:20:00	44.69
06:40:00	42.92
07:00:00	56.86
07:20:00	46.43
07:40:00	46.23
08:00:00	37.14
08:20:00	32.92
08:40:00	36.6
09:00:00	38.61
09:20:00	37.19
09:40:00	49.17
10:00:00	49.86
10:20:00	73.21
10:40:00	48.17
11:00:00	40.49
11:20:00	44.82
11:40:00	39.55
12:00:00	55.34
12:20:00	52.99
12:40:00	57.78
13:00:00	66.2
13:20:00	60.57
13:40:00	67.44
14:00:00	80.1
14:20:00	66.83
14:40:00	66.46
15:00:00	61.46
15:20:00	68.31
15:40:00	70.28
16:00:00	66.18
16:20:00	68.71
16:40:00	71.22
17:00:00	61.34
17:20:00	63.39
17:40:00	66.29
18:00:00	58.61
18:20:00	59.74
18:40:00	61.53
19:00:00	53.92
19:20:00	52.8
19:40:00	64.37
20:00:00	64.14
20:20:00	48.2
20:40:00	50.68
21:00:00	63.08
21:20:00	59.55
21:40:00	59.8
22:00:00	51.26
22:20:00	64.5
22:40:00	60.06
23:00:00	61.48
23:20:00	72.03
23:40:00	83.49
